mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_dropout_rate,param_epochs,param_learning_rate,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,optimizer_name,learning_rate,dropout_rate,batch_size,epochs,test_accuracy
6.7690023422241214,0.18083948775257014,0.47100110054016114,0.055774933963538074,16,0.3,50,0.001,<class 'keras.optimizers.adam.Adam'>,"{'batch_size': 16, 'dropout_rate': 0.3, 'epochs': 50, 'learning_rate': 0.001, 'optimizer': <class 'keras.optimizers.adam.Adam'>}",0.7162162065505981,0.7432432174682617,0.6351351141929626,0.7162162065505981,0.6712328791618347,0.696408724784851,0.038383384245044325,67,Adam,0.001,0.3,16,50,0.696408724784851
6.3333993434906,0.34642199306119165,0.5723999977111817,0.09807041562050443,16,0.3,50,0.001,<class 'keras.optimizers.rmsprop.RMSprop'>,"{'batch_size': 16, 'dropout_rate': 0.3, 'epochs': 50, 'learning_rate': 0.001, 'optimizer': <class 'keras.optimizers.rmsprop.RMSprop'>}",0.7702702879905701,0.7432432174682617,0.6891891956329346,0.6756756901741028,0.6164383292198181,0.6989633440971375,0.053839788850115367,60,RMSprop,0.001,0.3,16,50,0.6989633440971375
6.80000057220459,0.26073313488021566,0.4313997268676758,0.04261440184314909,16,0.3,50,0.001,<class 'keras.optimizers.adadelta.Adadelta'>,"{'batch_size': 16, 'dropout_rate': 0.3, 'epochs': 50, 'learning_rate': 0.001, 'optimizer': <class 'keras.optimizers.adadelta.Adadelta'>}",0.6351351141929626,0.4189189076423645,0.6081081032752991,0.6351351141929626,0.5205479264259338,0.5635690331459046,0.08366792827895322,401,Adadelta,0.001,0.3,16,50,0.5635690331459046
5.152802753448486,0.46749963580385856,0.6807990074157715,0.03971599209186104,16,0.3,50,0.001,<class 'keras.optimizers.adagrad.Adagrad'>,"{'batch_size': 16, 'dropout_rate': 0.3, 'epochs': 50, 'learning_rate': 0.001, 'optimizer': <class 'keras.optimizers.adagrad.Adagrad'>}",0.662162184715271,0.6486486196517944,0.7162162065505981,0.662162184715271,0.6438356041908264,0.6666049599647522,0.025851986428244836,148,Adagrad,0.001,0.3,16,50,0.6666049599647522
9.10300064086914,0.5106903823481977,0.40042600631713865,0.04332620670522798,16,0.3,50,0.001,<class 'keras.optimizers.nadam.Nadam'>,"{'batch_size': 16, 'dropout_rate': 0.3, 'epochs': 50, 'learning_rate': 0.001, 'optimizer': <class 'keras.optimizers.nadam.Nadam'>}",0.7702702879905701,0.7567567825317383,0.7162162065505981,0.6756756901741028,0.6849315166473389,0.7207700967788696,0.03764029152533748,5,Nadam,0.001,0.3,16,50,0.7207700967788696
7.045401334762573,0.23064686563403003,0.4655977725982666,0.028688313816623526,16,0.3,50,0.001,<class 'keras.optimizers.ftrl.Ftrl'>,"{'batch_size': 16, 'dropout_rate': 0.3, 'epochs': 50, 'learning_rate': 0.001, 'optimizer': <class 'keras.optimizers.ftrl.Ftrl'>}",0.662162184715271,0.6486486196517944,0.7162162065505981,0.6351351141929626,0.6301369667053223,0.6584598183631897,0.030958014354529564,187,Ftrl,0.001,0.3,16,50,0.6584598183631897
7.799669504165649,0.46776435963132074,0.521720552444458,0.12020721558478287,16,0.3,50,0.0005,<class 'keras.optimizers.adam.Adam'>,"{'batch_size': 16, 'dropout_rate': 0.3, 'epochs': 50, 'learning_rate': 0.0005, 'optimizer': <class 'keras.optimizers.adam.Adam'>}",0.7162162065505981,0.7837837934494019,0.6486486196517944,0.662162184715271,0.6575342416763306,0.6936690092086792,0.05090046627852519,79,Adam,0.0005,0.3,16,50,0.6936690092086792
6.585206794738769,0.16364754954023789,0.5857142448425293,0.1257307757577765,16,0.3,50,0.0005,<class 'keras.optimizers.rmsprop.RMSprop'>,"{'batch_size': 16, 'dropout_rate': 0.3, 'epochs': 50, 'learning_rate': 0.0005, 'optimizer': <class 'keras.optimizers.rmsprop.RMSprop'>}",0.6891891956329346,0.7567567825317383,0.6351351141929626,0.662162184715271,0.6438356041908264,0.6774157762527466,0.04377570804905102,125,RMSprop,0.0005,0.3,16,50,0.6774157762527466
7.638536500930786,0.5247160706115974,0.40727920532226564,0.037006428915895305,16,0.3,50,0.0005,<class 'keras.optimizers.adadelta.Adadelta'>,"{'batch_size': 16, 'dropout_rate': 0.3, 'epochs': 50, 'learning_rate': 0.0005, 'optimizer': <class 'keras.optimizers.adadelta.Adadelta'>}",0.4189189076423645,0.662162184715271,0.37837839126586914,0.6486486196517944,0.34246575832366943,0.4901147723197937,0.137176815966903,453,Adadelta,0.0005,0.3,16,50,0.4901147723197937
6.711906862258911,0.8363366824140093,0.42610583305358884,0.09687713206823576,16,0.3,50,0.0005,<class 'keras.optimizers.adagrad.Adagrad'>,"{'batch_size': 16, 'dropout_rate': 0.3, 'epochs': 50, 'learning_rate': 0.0005, 'optimizer': <class 'keras.optimizers.adagrad.Adagrad'>}",0.7027027010917664,0.6756756901741028,0.7432432174682617,0.47297295928001404,0.6438356041908264,0.6476860344409943,0.0932533260649126,361,Adagrad,0.0005,0.3,16,50,0.6476860344409943
